Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
28814679,The Earth Is Weeping: The Epic Story of the Indian Wars for the American West,Peter Cozzens,"Cozzens, Peter",,"=""0307958043""","=""9780307958044""",0,4.28,Knopf,Hardcover,544,2016,2016,,2024/07/11,to-read,to-read (#164),to-read,,,,0,0
11140803,American Nations: A History of the Eleven Rival Regional Cultures of North America,Colin Woodard,"Woodard, Colin",,"=""0670022969""","=""9780670022960""",0,4.20,Viking,Hardcover,371,2011,2011,,2024/07/11,to-read,to-read (#163),to-read,,,,0,0
40242274,A Random Walk Down Wall Street: The Time-Tested Strategy for Successful Investing,Burton G. Malkiel,"Malkiel, Burton G.",,"=""1324002182""","=""9781324002185""",0,4.14,W. W. Norton & Company,Hardcover,432,2019,1973,,2024/06/09,to-read,to-read (#162),to-read,,,,0,0
61423989,"A Fever in the Heartland: The Ku Klux Klan's Plot to Take Over America, and the Woman Who Stopped Them",Timothy Egan,"Egan, Timothy",,"=""0735225265""","=""9780735225268""",0,4.39,Viking,Hardcover,432,2023,2023,,2023/03/15,,,read,,,,1,0
55276620,South to America: A Journey Below the Mason Dixon to Understand the Soul of a Nation,Imani Perry,"Perry, Imani",,"=""0062977407""","=""9780062977403""",0,3.97,Ecco,Hardcover,410,2022,2022,,2024/05/24,to-read,to-read (#161),to-read,,,,0,0
43261065,The Lion Tracker's Guide To Life,Boyd Varty,"Varty, Boyd",,"=""0358099773""","=""9780358099772""",0,4.32,HarperOne,Hardcover,160,2019,2014,,2022/02/16,,,read,,,,1,0
101160707,"The Mysterious Case of Rudolf Diesel: Genius, Power, and Deception on the Eve of World War I",Douglas Brunt,"Brunt, Douglas",,"=""1982169907""","=""9781982169909""",0,4.24,Atria Books,Kindle Edition,374,2023,,,2023/10/06,,,read,,,,1,0
123432980,"Hitler, Stalin, Mum and Dad",Daniel Finkelstein,"Finkelstein, Daniel",,"=""0008483868""","=""9780008483869""",0,4.63,William Collins,Kindle Edition,512,2023,2023,,2023/12/16,,,read,,,,1,0
150779155,"The Invention of Prehistory: Empire, Violence, and Our Obsession with Human Origins",Stefanos Geroulanos,"Geroulanos, Stefanos",,"=""1324091452""","=""9781324091455""",0,3.77,Liveright,Hardcover,512,2024,2024,,2024/03/29,to-read,to-read (#160),to-read,,,,0,0
61089476,"Into the Amazon: The Life of Cândido Rondon, Trailblazing Explorer, Scientist, Statesman, and Conservationist",Larry Rohter,"Rohter, Larry",,"=""1324021268""","=""9781324021261""",0,4.43,W. W. Norton & Company,Hardcover,480,2023,,,2024/03/27,to-read,to-read (#159),to-read,,,,0,0
15842786,Understanding Computation: From Simple Machines to Impossible Programs,Tom Stuart,"Stuart, Tom",,"=""1449329276""","=""9781449329273""",0,4.25,O'Reilly Media,Paperback,329,2013,2013,,2024/03/15,to-read,to-read (#158),to-read,,,,0,0
127305908,A History of the World in Twelve Shipwrecks,David Gibbins,"Gibbins, David",,"=""1250325374""","=""9781250325372""",0,3.45,St. Martin's Press,Hardcover,304,2024,2024,,2024/03/08,to-read,to-read (#157),to-read,,,,0,0
42118073,Trillion Dollar Coach: The Leadership Playbook of Silicon Valley's Bill Campbell,Eric Schmidt,"Schmidt, Eric","Jonathan Rosenberg, Alan Eagle","=""0062839268""","=""9780062839268""",0,3.99,Harper Business,Hardcover,240,2019,2019,,2024/03/08,to-read,to-read (#156),to-read,,,,0,0
6919721,The History of White People,Nell Irvin Painter,"Painter, Nell Irvin",,"=""0393049345""","=""9780393049343""",0,4.08,W. W. Norton & Company,Hardcover,512,2010,2010,,2024/02/21,to-read,to-read (#155),to-read,,,,0,0
42201377,The Pioneers: The Heroic Story of the Settlers Who Brought the American Ideal West,David McCullough,"McCullough, David",,"=""1501168681""","=""9781501168680""",0,3.81,Simon & Schuster,Hardcover,352,2019,2019,,2024/02/10,,,read,,,,1,0
40180098,The Overstory,Richard Powers,"Powers, Richard",,"=""039335668X""","=""9780393356687""",0,4.12,W.W. Norton & Company,Paperback,502,2019,2018,,2022/03/10,,,read,,,,1,0
903564,The Rise of American Democracy: Jefferson to Lincoln,Sean Wilentz,"Wilentz, Sean",,"=""0393058204""","=""9780393058208""",0,3.97,W. W. Norton & Company,Hardcover,1044,2005,2005,,2024/02/03,to-read,to-read (#154),to-read,,,,0,0
24113,"Gödel, Escher, Bach: An Eternal Golden Braid",Douglas R. Hofstadter,"Hofstadter, Douglas R.",,"=""0465026567""","=""9780465026562""",0,4.29,Basic Books,Paperback,777,1999,1979,,2024/01/17,to-read,to-read (#153),to-read,,,,0,0
13348065,Antarctica: An Intimate Portrait of the World's Most Mysterious Continent,Gabrielle Walker,"Walker, Gabrielle",,"=""1408811103""","=""9781408811108""",0,4.27,Bloomsbury UK,Hardcover,391,2012,2012,,2024/01/02,to-read,to-read (#152),to-read,,,,0,0
57446130,Half American: The Epic Story of African Americans Fighting World War II at Home and Abroad,Matthew F. Delmont,"Delmont, Matthew F.",,"=""198488039X""","=""9781984880390""",0,4.53,Viking Books,Hardcover,400,2022,2022,,2023/03/11,,,read,,,,1,0
427282,The Periodic Table,Primo Levi,"Levi, Primo",Raymond Rosenthal,"=""0805210415""","=""9780805210415""",0,4.15,Schocken,Paperback,233,1995,1975,,2023/12/22,to-read,to-read (#151),to-read,,,,0,0
128747007,Emperor of Rome: Ruling the Ancient Roman World,Mary Beard,"Beard, Mary",,"=""""","=""""",0,4.11,Liveright,Hardcover,493,2023,2023,,2023/12/16,to-read,to-read (#150),to-read,,,,0,0
63063173,Scaling People: Tactics for Management and Company Building,Claire Hughes Johnson,"Johnson, Claire Hughes",,"=""1953953212""","=""9781953953216""",0,4.31,Stripe Press,Hardcover,480,2023,,,2023/12/16,to-read,to-read (#149),to-read,,,,0,0
61327449,"How Big Things Get Done: The Surprising Factors That Determine the Fate of Every Project, from Home Renovations to Space Exploration and Everything In Between",Bent Flyvbjerg,"Flyvbjerg, Bent",Dan Gardner,"=""0593239512""","=""9780593239513""",0,4.32,Crown Currency,Hardcover,304,2023,2023,,2023/12/16,to-read,to-read (#148),to-read,,,,0,0
123199472,Sparks: China's Underground Historians and their Battle for the Future,Ian  Johnson,"Johnson, Ian",,"=""0197575501""","=""9780197575505""",0,4.39,Oxford University Press,Hardcover,400,2023,2023,,2023/12/16,to-read,to-read (#147),to-read,,,,0,0
4806,Longitude: The True Story of a Lone Genius Who Solved the Greatest Scientific Problem of His Time,Dava Sobel,"Sobel, Dava",Neil Armstrong,"=""0802714625""","=""9780802714626""",0,3.98,Walker Books,Hardcover,184,2005,1995,,2023/12/16,to-read,to-read (#146),to-read,,,,0,0
